text_a	text_b	score
我做题做了三个小时。	这些损害显现出来的病征主要如下：	0.0
她的厨艺怎么样？	珀斯有一支职业足球队圣庄士东，自2002年至今参加苏格兰足球甲组联赛。	0.0
他犯了一点错误。	唤马剪纸、川北灯戏等民间艺术多姿多彩，玉女凿溪、火烧怪兽等神奇传说脍炙人口；	0.0
那个高个子肯定是乙班的，但是我想不起他叫什么名字了。	福建省的将乐、泰宁、宁化等地；	0.0
太棒了！	好棒啊！	1.0
柱子让汽车给撞倒啦！	维尔补恩克斯日渐受到欢迎，但不只是在贫苦农民之间传唱，也在上层贵族流行了起来，他们认为 verbunkos 是真正代表匈牙利民族的音乐。	0.0
结婚之前，我没有想到她工作这么艰苦。	我结婚之前从没有想到她工作这么艰苦。	1.0
我之所以会吃惊，是因为没想到会在这种地方遇见他。	因为没想到会在这种地方遇见他，于是我会吃惊。	1.0
如果是一个贪图财物享受的人，他就不会天天把自己关在书斋里做学问了。	由以上讨论知道一般的情况，线性折积与环形折积的输出结果并不会相同，且一般线性折积较实用而有意义。	0.0
一只青蛙从小池塘里跳出来。	只是1998年根据基因亲缘关系分类的APG 分类法将其单独分为一个科，放在泽泻目下。	0.0
我们通常星期四下午开碰头会。	香港的典型住宅结构设计通常就是一个总共八层的点式结构，电梯、消防楼梯和垃圾通常设在结构核心之内，居住面积则从结构核心向外辐射出去。	0.0
我刚从图书馆回来。	是一种文体，为一种长行颂偈，用于议论之用，即论颂。	0.0
他刚才暧昧地瞅了小红一眼。	左旋的乳酸在汗、血、肌肉、肾和胆中出现。	0.0
小明打碎了一个杯子。	斯潘道古堡是一处保存完好的文艺复兴城堡，坐落在施普雷河和哈弗尔河汇流处的小岛上，最初是用来保护斯潘道镇（今天柏林的一个区）；	0.0
由于对造成事故的主观原因认识不足，因此导致了此类事故的再次发生。	随著剧烈的对流活动由北向南移动，大埔的大尾笃，新界西北的流浮山，一度出现了100公里以上的阵风风力，其中又以流浮山的瞬时风力最为强劲，达到了飓风程度的131公里，造成流浮山田厦路近木人巷的货柜场内一个货柜疑被强风吹跌，压毁一辆另机的驾驶室，操作员受伤送院。	0.0
这些东西可能被雨弄湿了。	石溪将加入其他大学一个univerCITY复合体，可能涉及其他学校有北卡罗莱纳州立大学，乔治梅森大学，卡耐基梅隆大学，约翰霍普金斯大学和波士顿大学。	0.0
那只凶恶的老虎被武松打死了。	武松把那只凶恶的老虎打死了。	1.0
一个大方的人，他不会做这种小气的事。	大方的人不会做这种小气的事。	1.0
你没有放下包袱。	由于是宇宙开发用机器人并没有搭配武器（在机器人大战出场时，虽然威力较弱，仍然搭配了和盖特机器人一样的武器）。	0.0
东西全给他吃光了。	胡适则在五十年来中国之文学（1922）中说：章炳麟的古文学是五十年来的第一作家，这是无可疑的。	0.0
留着他们一起吃午饭吧。	玩家在这个游戏中不需要去在乎太多的规则，因为玩家唯一的目的就是尽情的在这些场景中玩耍：制作物件机关或拼凑型物件、产生NPC并且对他们进行各种的互动实验，以及目前让GMod广受众玩家青睐的功能：拍摄属于自己的图片及动画。	0.0
屋里连一个人也没有。	月球物质回收和回归宇航员检疫实验所，简称月球物质回收实验所是美国国家航空航天局在林顿·约翰逊太空中心的一个研究设施（37号楼），以检疫阿波罗计划中从月球返回的宇航员和月球标本。	0.0
凡是学校的事儿，没他不管的。	数的算术运算（如加减乘除）在抽象代数这一数学分支内被广义化成抽象数字系统，如群、环和体等。	0.0
看到实验成功，大家好高兴。	但到了1950年代末波音公司在竞标实验性战术战斗机（Tactical Fighter Experimental，TFX）开始研究可变后掠翼，虽然波音最后败于通用动力公司的F-111战斗轰炸机，但波音在参与TFX研发过程中对可变后掠翼的设计累计了大量经验。	0.0
参加奥运会的运动员名单已经确定了。	格网线方面，是采用天干及中国数字，方便参加者说出其座标。	0.0
办一件放心一件。	罗马皇帝图拉真于106年征服达契亚，分为上达契亚和下达契亚，分别相当于今特兰西瓦尼亚和瓦拉几亚。	0.0
我见了一共三个人。	根据预言，时代久远，连维拉和精灵也感到疲乏之时，魔茍斯将发现怎样打破黑夜之门的方法，重回世上，他打败了雅瑞恩和提里昂，破坏了太阳飞船和月亮飞船。	0.0
这位老大娘说不定还会送你一双绣花鞋呢。	这位老大娘说不定还会把一双绣花鞋送给你呢。	1.0
老林被他说服了。	他报警求助，并通知马会保安部。	0.0
非诚勿扰。	在这场比赛中，希伯尼安开局十分顺利，米歇尔·勒布隆和让·唐普兰的两粒进球让本方在10分钟内就取得2比0领先。	0.0
用用就知道。	用了就知道。	1.0
吃饱了饭。	设有经济学院、工商管理学院、管理科学与工程学院、公共管理院、政法学院、数学与信息科学学院、计算机与科学技术学院、信息与电子工程学院、会计学院、 外国语学院、统计学院、服务外包软件学院、国际教育学院、社会科学教学部、体育部、大学外语教学部、计算机基础教学部、继续教育学院、煤炭经济研究院、半岛经济研究院、东亚社会发展研究院、金融研究院、儒商研究院等23个院部。	0.0
我看见了你的钢笔。	现为二二八国家纪念馆。	0.0
把窗户开一下吧！	巴迪结束了这段韵事，说他正面临着一场昂贵的离婚。	0.0
老实说我手头没有那本书。	他俩赶紧倒出第三桶，只听得一声巨响，井边的地塌了下去，夫妻俩也跟著陷下去……井不见了，响声没有了，地不再震动了，孽龙被铁水溶化了，夫妻俩为此献出了生命。	0.0
假设真的没有文明和文化，那么这个世界就像个未成品。	假设真的没有文明和文化，这个世界就像个未成品。	1.0
我把桌子给爸爸整理好了。	因此中文世界的天气谚语主要适用在纬度适中的地带，因为其有明显的气候变化。	0.0
小红哭湿了枕头。	开普勒452b的直径比地球大60%，这是开普勒的观测数据能够精确测定的。	0.0
没你这么问的。	你这么问不对。	1.0
只要她一去接电话，孩子就会大哭大闹。	为了彻底解决IE6对网页标准支援不完善的困扰，包括YouTube、Facebook和Twitter在内的多家知名网站决定针对只要是最近曾使用IE6浏览器连上这些网站的朋友，可能都会发现网站所发出的警讯。	0.0
我不知道他不了解情况。	我不清楚他不了解情况。	1.0
这件事没有商量头儿，你们必须照办。	这件事没什么商量的余地，你们必须照办。	1.0
我羊肉不吃，吃牛肉。	文化大革命开始后，关锋成为中央文革小组成员，在文革中十分活跃，但是因为揪军内一小撮的社论，被毛泽东批示王力，关锋，戚本禹是坏人，是小爬虫，立刻抓起来。	0.0
有你的福享。	下狱时亦连声追问：吾何罪？	0.0
他付了我们100块钱。	而使用float的时候，我们通常指单精度的浮点数。	0.0
他是个心胸宽广的人，哪里会介意这点小事。	他强行留下南霁云，并设歌舞宴会款待。	0.0
现在半夜三更回家，也不用担心安全问题，。	孵化14-15日就会生出雏鸟。	0.0
文化活动可以导致人们的行为趋同，就是说，人们的心里状态在文化的作用下呈现出一致性。	直到1930年代早期，童军露营活动持续在白浪岛上举行。	0.0
这位老大娘说不定还会送你一双绣花鞋呢。	徐朗西家在文化大革命中遭遇悲惨。	0.0
她在教室里朝我笑了笑。	在教室里她朝我笑了笑。	1.0
有人由于不讲逻辑，因此对别人不合逻辑的言论，不但不能觉察它的荒谬，反而随声附和，人云亦云。	有人不讲逻辑，因此对别人不和逻辑的言论，不仅不能觉察它的荒谬，反而人云亦云，随声附和。	1.0
比尔送了乔伊斯一件礼物。	在清朝所封的札萨克郡王和诸伯克之上，清朝还派驻伊犁将军，掌天山南北最高军政大权，下设参赞大臣一人辅之。	0.0
你穿太少了，当心着凉。	屋顶下方的水泥仿石圆圈内有1930的字样，圆圈的下方是步高里的法语以及中文名称。	0.0
就语言来看，这部作品不像是宋代的。	贝多芬作品的编号是由他作品的出版商编制的。	0.0
科学家正在努力探索这一奥秘，以便根据它的原理来研制新的导航仪器。	这种不致让球员当面难堪但有所自觉的话语，自发性的磨练再磨练，努力再努力。	0.0
好不伤心。	侧膜秋海棠	0.0
揍你个生活不能自理。	痛恨你生活不能自理。	1.0
花猫逮住了一只耗子。	世界小姐（1959至2014年）。	0.0
门响了，别是他回来了。	这样一来，爱丽丝可以联系她的朋友们无论他们使用何种协定。	0.0
不知不觉我学会了广州话，而且说的还不错。	包致金在任职上诉庭法官和终审法院常任法官期间，以异见判决闻名。	0.0
还了他五十块钱。	把五十块钱还给他了。	1.0
看到实验成功，大家好高兴。	看到实验成功，大家不高兴。	0.0
小明跟爸爸一起去看电影。	经历了前线的一系列失败，战时人民委员托洛茨基建立了越来越多的严厉措施以阻止红军中未经许可的撤退、逃跑或者叛变。	0.0
他刚走了两个钟头你就回来了。	"虽然插入和删除很复杂，但操作时间仍可以保持为O(log ""n"")次。"	0.0
这半年小姑娘高了不少。	亦有人猜测在月球上可能有源自地球的所谓地球陨石。	0.0
这座桥分为上下两层，上层是公路桥面，可容纳六辆客车并排通过，下层是铺设双轨的复线铁路，铁道两侧还有人行道。	光线通过这些组件发生得更多的是的是内反射，而不像菲涅耳透镜那样发生单一的的折射。	0.0
当我回家的时候，他们已经睡着了。	一般认为，隶书的起源时间可以追溯至战国，到秦朝时已经大致成型。	0.0
在北京我们游览了不少地方。	中航技公司位于北京的总部主要由两类事业部构成，它们都处于公司管理委员会的监督管理下。	0.0
你喝了不到两盅酒，就叨叨叨，叨叨叨，你有个够没有？	于禁和众将登高坡望水，没有可以回避的地方，关羽乘船攻打于禁等人，于禁随即投降（演义为乞降）被关押在荆州江陵。	0.0
长痱子的小孩儿。	这个小孩儿长痱子了。	1.0
我始终坚持认为，雷锋精神不但没有过时，而且永远不会过时。	格罗宁认为，人们并不会在看报纸上的电视版块后根据剧情来选择观看这个星期的辛普森一家，这个节目吸收人的地方不是剧情，大家只管打开电视，看看到底会发生什么。	0.0
他这些日子不知怎么着，经期有两个多月没来。叫大夫瞧了，又说并不是喜。	随着点阵打印机的流行发生的一些变化，在这些系统上字符是用一系列的点画出来的，这些点在打印机中定义为字体表。	0.0
我屏住丹田，双腿来个蛤蟆跳。	英语周报总部位于山西省省会太原，此外还有七个分部，即华北东北分社、华东分社、中原分社、西北分社、华中分社、华南分社、西南分社。	0.0
差点考上甲班。	夏、秋两季降水明显偏少，6月至12月降水比常年偏少，其中7月和8月降水分别比常年少111。	0.0
许多人宁愿花几百块钱去吃一顿饭，也不愿意花十几块钱买一本书。	许多基督徒承认驱魔真正地驱逐了真正的魔鬼：罗马天主教还有一套详细的驱魔步骤，多数地方的教堂附近都有驱魔专家；	0.0
这道题做了我三个小时。	马哈迪在痛斥外汇投机客的同时，拒绝国际货币基金组织的药方，对货币进行管制。	0.0
在悬崖峭壁间开辟出一条路来尚且不易，更何况是修建寺庙！	文学作品。	0.0
你果然准时到了。	果然你准时到了。	1.0
我修电脑修了五百块钱。	对间隔数年的星云照片进行分析，结果是它正在缓慢膨胀，比较这种角膨胀和谱线红移可以测定膨胀速度，此方法也能估测该星云到地球的距离。	0.0
他们这些捏笔杆子的也会种庄稼。	他们这些捏杆子的也会摆弄庄稼。	1.0
这位老大娘说不定还会送你一双绣花鞋呢。	又通金石学，工书法，重北碑，精于书画鉴定，尝受聘为上海收藏家李平书，校其平泉书屋所藏。	0.0
杯子是空的。	并且可能与其他游戏类型结合，例如樱花大战是恋爱冒险和战棋游戏的结合。	0.0
天气暖和多了。	天王星的增温层和平流层的上层对应著天王星的电离层。	0.0
在没修赵州桥之前，一条洨河横断南北，阻碍了人们的往来，造成了不便。	日通乡是中国西藏自治区昌都市卡若区下辖的一个乡，位于区境中北部、扎曲河流域，317国道南北过境，平均海拔3300米，是一个传统农业乡。	0.0
动物冬眠时，新陈代谢并未停止，只不过非常缓慢。	动物冬眠时，新陈代谢并未停止，只是非常缓慢。	1.0
因前一段时间连降暴雨，以致工期一再拖延。	前一段时间连降暴雨，因此工期一再拖延。	1.0
花丛中飞着几只蝴蝶。	他批评，自密封管道启用后，邻近东江、受严重污染的石马河，水量急降，每遇潮水涨退，更可倒流至东江中游，污染东江源头。	0.0
你扮演我们的交通员，让敌人抓住了。	周家口镇的商业开始走向萧条。	0.0
我一定把驾驶执照考下来，只要你给我时间。	如参照利率比协议利率为高，卖方需支付买方合约差额。	0.0
女教官教我们如何在险恶多变的环境中战胜困难，最终完成任务。	我们是未来的主人翁。	0.0
那些荔枝他吃了不少。	务实性的（或是战术性或是战略性）非暴力行动的基本概念是创建一种动态的社会或是政治运动，以便搭建一个国家级或国际级的对话平台，以此来影响社会变革，而不必非要赢了那些希望维持现状的人。	0.0
明天下雨的话，活动就会泡汤。	假如明天下雨的话，活动便会泡汤。	1.0
詹先生虽然可以给她带来物质上的富足，却无法给她带来真正的幸福。	詹先生虽然可以给她带来物质上的富足，可是无法给她带来真正的幸福。	1.0
他已经通知了所有人。	所有人都收到了他的通知。	1.0
花丛中飞着几只蝴蝶。	这是也是一段岳灵珊在现实生活中与林平之相遇的故事。	0.0
她在每本书上都签了名字。	一楼有张巨大的地图，上绘有作者飞过的路线和南美的航空邮政站。	0.0
在我洗澡的时候，他在看电视。	皇始（351年-355年五月）是十六国时期前秦政权前秦景明帝苻健的年号，共计5年。	0.0
这项任务得十个人。	"给定一个有限群""G""和一个整除""G""的阶的整数""d""，""G""并不一定有阶数为"	0.0
我觉得佳艳的德语水平远在我之上，虽然我的考试成绩比他高。	虽然YAML是参考JSON，XML和SDL等语言，不过跟这些语言比起来，YAML仍有自己的特色。	0.0
我用这把刀切肉。	我拿这把刀切肉。	1.0
一喝就醉。	所以formula_50，也就是说formula_51。	0.0
我派他去北京。	詹天佑铜像及墓为北京市文物保护单位，青龙桥站为爱国主义教育基地。	0.0
他有的是钱。	斐济包含322个岛屿，主要为珊瑚礁环绕的火山岛，其中1/3有人居住。	0.0
他逃脱不了法律的制裁，尽管他爸爸是李刚。	他无法逃脱法律的制裁，尽管他爸爸是李刚。	1.0
通过翻译，我们交谈了半个小时。	他坚决宣布：无论是我们，是天上来的使者，若传福音给你们，与我们所传给你们的不同，他就应当被咒诅。	0.0
他一点苹果没吃。	监副，中国古代官职之一。	0.0
别把愁事憋在心里。	婚后继续从事演唱。	0.0
他吃螃蟹吃病了。	通过电脑基本能力认证，有效接通宽频世界。	0.0
因前一段时间连降暴雨，以致工期一再拖延。	因前一段时间连降暴雨，因此工期一再拖延。	1.0
颗颗都挂了果。	陈独秀主张全盘西化，彻底改造中国。	0.0
既然那么高调参赛，他怎么会轻易退赛呢？	正如电影导演沙蒙对乔羽说的：你想怎么写就怎么写，我只希望将来这部片子没有人看了，这首歌还有人唱。	0.0
柱子让汽车给撞倒啦！	民国初期，中国人开始创作本土世俗音乐的合唱作品，出现了赵元任作曲的海韵等合唱歌曲。	0.0
有你的钱花。	风门厅俗称北大厅，是中国政府为邦交国元首访问举行欢迎仪式的室内场地；	0.0
你们拿了人家不少好处。	香港的玄学家苏民峰曾在电视节目内指出：观塘区的山势本来是很差的，不过由于当地的公共房屋把原来难看的山势阻挡了，使新填海区再看不到原来的山势，反而只看到整齐的楼景。	0.0
唉！天知道！	唉，谁知道呢！	1.0
咱俩谁跟谁呀。	哥两关系好呀~。	1.0
准是瞎指挥，没个不出事儿。	战争结束后，茨威格回到了奥地利，住在萨尔茨堡。	0.0
他的瘤子还不太大。	"网纹雕蜷（学名：""""），是异腹足目雕蜷科""Opimilda""的一种。"	0.0
你要包子，油条，还是煎饼呢？	对坎普伯罗岛和对圣劳伦斯河谷地区的进攻均被击退了。	0.0
不是每家都买了汽车。	汽车不是每家都有。	1.0
通过宏观调控，既保持了经济快速发展的良好势头，又纠正了经济增长过程中的不健康因素。	通过宏观调控，保持了经济快速发展的良好势头，也纠正了经济增长过程中的不健康因素。	1.0
姐姐昨天就把这消息告诉我了。	小布什总统在揭幕仪式上的演讲中这样形容受难者：	0.0
我想喊他等等我，却又怕他笑我胆小害怕，不叫他，我又真怕一个人摸不到那个包扎所，更怕一个人在那儿打吊瓶。	我想喊他等等我，却又怕他笑我胆小害怕，如果不叫他，我又真怕一个人摸不到那个包扎所，更怕一个人在那儿打吊瓶。	1.0
杯子是空的。	天堂的原作漫画在台湾译为红狮传说，最初由大然文化代理中文版。	0.0
他没往家里寄过半分钱。	雍正元年（1723年）设热河厅，雍正十一年（1733年）设承德州（取承受先祖德泽之义），1778年改承德府。	0.0
不管你说什么，他总是听不进去。	于2009年11月21日他的儿子邝之彦与未婚妻孙凯宁结婚，邝其志以自己的平治豪华房车KC1300作为花车用途。	0.0
没有喝完的半杯水。	依照学者估计，1694年康熙大地震之震央位于北纬25。	0.0
我一定把驾驶执照考下来，只要你给我时间。	如果你给我时间，那么我一定把驾驶执照考下来。	1.0
兄弟两个谁也不服谁。	钱1972年学棋，1982年被定为四段，1987年升为九段，1988年夺得全国围棋个人赛冠军，但同年由于用功过度，钱宇平原患有的青春期精神综合征加剧，难以控制情绪。	0.0
他知道这事吗？当然知道，只不过他不说而已。	千叶发着的列车与津田沼发着的列车交互运转。	0.0
你不是一个俗人。	平日里最爱看超人漫画，常想有一天他会像超人一样，力大无穷，法术无边，把人间一切不义不平一个拳头打垮。	0.0
那些荔枝他吃了不少。	他认为所有人都懂得部分真理，而所有人都需要学习别人所知道的真理来追求更大的真理。	0.0
他这个人就知道吃。	这个时期的婴儿会开始向人们表现出有意义的笑容，婴儿在哭以外，发声也应该有明显的进展。	0.0
帽子呢？	乐队是一个四只企鹅的小团体，它们经常会出现在俱乐部的大型聚会中。	0.0
这个问题他们也许已经解决了。	如今涂鸦仍然是嘻哈文化的一部分，然而已经跨入主流艺术界，并在世界各地有名望的画廊中展出。	0.0
我跟这个人通过信。	匈奴通过乌孙间接控制了从伊犁河流域西抵伊朗高原的交通线。	0.0
我刚从图书馆回来。	卡洛斯·莫亚	0.0
我什么时候说你欠我了？	再如位于慕尼黑艺术展览区带的古生物研究所，地质地理研究所以及绘画陈列馆西南方的数学楼（物理系、资讯科学系和地理系讲课也在此处）。	0.0
差点办成了。	牠们喜欢在海拔3000－5000米的地方筑巢及繁殖。	0.0
冬天过去了，春天就会来到。	他是紫云黄氏的始祖，子孙遍布福建、江西、广东、台湾。	0.0
你真的要放弃？	该赛季，博古特场均拿下15。	0.0
年轻人不读书不行。	年轻人要读书。	1.0
这封信写了我一个晚上。	鲁桂珍向李约瑟介绍中国悠久的科学发明和医药学，给身处西方中心论环境中的李约瑟带来很大的心灵震动，使他形成了一个宝贵的信念，中国文明在科学技术史中曾起过从来没被认识到的巨大作用。	0.0
实际上，当地政府多年来对市场别说干预，连辅助性的行为都很少。	现在花园晚上会锁上，这是因为管理当局发现很多同性恋者天黑后在园中进行不轨行为（other undesirables，滥交的委婉语）。	0.0
这部电影遭极了，没看头儿。	太阳之歌是一出在2006年6月17日上映的由YUI主演的日本电影。	0.0
首先于一九四零年十月间重开浈缅路，接着派了一些在敦刻尔克撤退下来的残兵败将来中国学习游击战。	高考恢复后，1979年王志平考入包头高等师范专科学校学习；	0.0
当官不为民做主，不如回家卖红薯。	而朝天轮运转一周的时间大约需要30分钟，晴天时的远望距离可达几十公里。	0.0
卖了一批设备给工厂。	卖给了工厂一批设备。	1.0
他用钳子把车修好了。	并以须城为山东西路首邑。	0.0
人人都看见她了。	岩石圈是地球的表层，薄而坚硬。	0.0
这位老大娘说不定还会送你一双绣花鞋呢。	吴静雄教授1970年毕业于国立台湾大学电机系，1972年随即取得电机硕士，1978年获得美国康乃尔大学电机博士学位。	0.0
大师傅已经做好了可口的饭菜。	大师傅已经把可口的饭菜做好了。	1.0
他不高兴地说。	也有不要与混血儿一同通报姓名的主张。	0.0
唱了又唱。	不停地唱。	1.0
这叫你说着了。	您可说着了喂。	1.0
他偷了小王一辆自行车。	他把小王的一辆自行车给偷了。	1.0
句句都说到了我的心窝里。	每句都说到了我的心坎里。	1.0
你走你的阳关道，我走我的独木桥。	刘知几将史学文献典籍分为六类，古往今来，质文递变，诸史之作，不恒厥体。	0.0
她洗净了一件衣服。	到了2001年，多国合作的国际团队与私人企业塞雷拉基因组公司，分别将人类基因组序列草图发表于自然与科学两份期刊。	0.0
没你这么不讲道理的。	基于以上三种病征，再把注意力不足过动症（ADHD）细分为以下三个分类：	0.0
这件事非你去不成。	今天的查莫罗文化融合了西班牙、美国、菲律宾等各国文化，而古代查莫罗文化则在很大程度上已经消失殆尽。	0.0
我今天的报还没有看呢。	宣言并没有断然漠视南非，而是对种族隔离政府采取一种缓和的态度，甚至承认其自治地位。	0.0
回家过年太麻烦了，何况我还没在广州过过春节。	从1426年到1450年的二十多年中，通哇敦丹先后八次遣使向明朝进贡，明朝曾召请他进京，但未能成行。	0.0
他看了看书。	立法任务。	0.0
人家主动帮助你又什么不好？	是新教练图埃纳迎来的首次考验。	0.0
桂花别提有多香。	桂花非常香。	1.0
一个大方的人，他不会做这种小气的事。	我们来看一个特殊情况。	0.0
你是来帮忙的，还是来起哄的？	"西原（越南语：""Tây Nguyên""），有时又称为中部高原（""Cao nguyên Trung bộ""）或中央高地，是越南8大地区之一，包括多乐省、多农省、嘉莱省、昆嵩省和林同省。"	0.0
好办哪，这事儿！	沃罗杜古区	0.0
他没有听懂。	也是从1962年开始，中苏关系开始交恶，苏联影片的剧照便彻底从大众电影的封面上消失，直到1964年最后一部苏联影片引进中国，读者再也没有看到一张苏联电影剧照出现在封面上。	0.0
这个计划没有一点问题。	这个体育场长213米，宽31至32米，其跑道的起点和终点的沟依然保存，跑道长192。	0.0
方法始终在变。	在对史记·楚世家的注释中也有提到穆王有涂山之会。	0.0
小红帽没有被狼外婆吃掉。	澎湖群岛由90个岛屿组成，位于台湾岛西部，相隔澎湖水道，总面积141。	0.0
这煎饼一个多少钱？	卡洛斯二世是一个有智能障碍及阳痿的君主，令哈布斯堡家族后继无人，结果王位由波旁家族的安茹公爵腓力继承。	0.0
那个小姑娘蓝眼睛。	这名词是由西欧之使徒，道明会士圣文生、婓瑞Saint Vincent Ferrer推广开来的。	0.0
我不能不去北京。	最后经地方政府和学校当局的疏导和阻止，并以北京的元旦风波被平息标志着学潮的结束，前后共持续了27天。	0.0
我要一件衣服，这件衣服不太红，换红一点的。	个人生活。	0.0
少不了你的福享。	有你的福享	1.0
我妈妈姓冯，我爸爸也姓冯。	授翰林院修撰，充翰林院侍讲。	0.0
离城不远。	她的父母亲是和。	0.0
笼屉里冒着热气。	出身不明。	0.0
你没把鱼缸清理干净。	鱼缸没被你清理干净。	1.0
那东西闻着都恶心。	从西晋到南北朝的三百多年间，绵阳先后经历了西晋、成汉、东晋、前秦、刘宋、南齐、梁、北魏、西魏、北周等10个朝代和国家的统治，市境内先后设置过潼州、新州、龙州等3州，梓潼、巴西、巴西梓潼、潼川、北阴平、阴平、新巴、江油、新城、始平、西宕渠、北宕渠、高渠等13郡，40余县。	0.0
我们不一定去问他。	雪山部认可大天五事，究其原因，要么是雪山部忘却了传统，要么是五事诤论实际上发生在最早记载五事的发智论所处的时代。	0.0
她没叠好被子。	度量空间以及拓扑空间之间的连续函数定义见下一节。	0.0
三班的跟我走！	中国男子篮球职业联赛篮板王	0.0
我的老天爷呀！	有8万人流亡到西方。	0.0
一旦有机会，就要全力以赴。	萨文比身中15弹，其中2弹命中头部。	0.0
我妈妈姓冯，我爸爸也姓冯。	我爸姓冯，我妈也姓冯。	1.0
不管荤的、素的都没个完。	不管荤的、素的都不够。	1.0
这孩子啊，竟然认不出他妈妈。	若formula_2为单向量，则点积即为formula_1在方向formula_2的投影，即给出了力在这个方向上的分解。	0.0
约翰偷了一辆自行车给玛丽。	但现代金融是一种无所不至的全能性组织力量，它之统治所及概要全部包含，又要不容与它类似的其他因素分庭抗礼。。	0.0
不到黄河心不死。	虚构的意义。	0.0
作家的责任不是用虚构的故事去迎合读者的趣味，而是要探索现实，批评现实。	在生化危机5中再次成为最终魔王的威斯卡也被揭露出更多的故事，当他知道自己原来从小就是被史宾瑟以制造完美的生化武器为目标而培养时，心里不知作何感想，但他很快就被史宾瑟所说的让人类进化，创造新世界的野心所迷惑。	0.0
她都去了三次了。	国内的不安形势有所减轻，但未完全停止。	0.0
这孩子啊，竟然认不出他妈妈。	这孩子竟然认不出她妈妈。	1.0
原来我也有枝这样的笔来着。	原来我也有枝这样的笔。	1.0
你再磨蹭就迟到了。	于温度达到（T）一半时解链就已经开始发生。	0.0
你应该协助我们完成这个项目。	这个在1860年代发表的理论，原本早已被人们忽略了数十年，直到20世纪初，才重新被科学家们发现。	0.0
我今天的报还没有看呢。	根据人本教育基金会于2003年对台湾247所学校进行访问，这些学校上仅一所没有发禁，教育部训委会同年的调查资料，全台湾仅三所中学没有发禁规定。	0.0
